trace_id,test_id,category,success,total_input_tokens,total_output_tokens,total_thinking_tokens,avg_input_tokens_per_step,avg_output_tokens_per_step,avg_thinking_tokens_per_step,total_llm_latency_sec,step_count,turn_count,error,runtime_error_count,tool_error_count,tool_call_count,avg_tool_calls_per_turn,redundant_tool_calls,context_growth_total,avg_context_growth_per_turn,avg_context_growth_per_step,self_corrected_runtime,self_corrected_tool,avg_input_tokens_per_turn,avg_output_tokens_per_turn,avg_thinking_tokens_per_turn,avg_llm_latency_per_turn_sec,avg_llm_latency_per_step_sec,total_cost
000ecc5b673e66233bda8f02b1561b26,multi_turn_miss_param_163,multi_turn_miss_param,1,63789,306,1600,7973.625,38.25,200.0,30.622,8,3,0,0,0,7,2.3333333333333335,1,502,251.0,71.71428571428571,0,0,21263.0,102.0,533.3333333333334,10.207333333333333,3.82775,0.01975925
00f5702b9a79f093db671b8f28afed89,multi_turn_miss_param_156,multi_turn_miss_param,0,160794,1465,4544,11485.285714285714,104.64285714285714,324.57142857142856,75.10000000000001,14,6,0,0,0,10,1.6666666666666667,1,1655,331.0,127.3076923076923,0,0,26799.0,244.16666666666666,757.3333333333334,12.516666666666667,5.364285714285715,0.0522165
0235a686d2d45f2199bc96e7242f881a,multi_turn_miss_param_61,multi_turn_miss_param,0,402604,1100,16384,3594.6785714285716,9.821428571428571,146.28571428571428,223.812,112,5,0,0,0,33,6.6,24,1898,474.5,55.8235294117647,0,0,80520.8,220.0,3276.8,44.7624,1.9983214285714286,0.135619
053c208ec3633059536de7c653212ea2,multi_turn_miss_param_168,multi_turn_miss_param,0,148681,551,4224,10620.07142857143,39.357142857142854,301.7142857142857,63.437000000000005,14,6,0,0,0,8,1.3333333333333333,2,981,196.2,75.46153846153847,0,0,24780.166666666668,91.83333333333333,704.0,10.572833333333334,4.531214285714286,0.04672024999999999
0a09be5df4379711df97d726ebbeebeb,multi_turn_miss_param_128,multi_turn_miss_param,0,73959,749,2560,6723.545454545455,68.0909090909091,232.72727272727272,49.67,11,5,0,0,0,16,3.2,9,1526,381.5,152.6,0,0,14791.8,149.8,512.0,9.934000000000001,4.515454545454546,0.025107749999999998
0a6a29454fd6d1c4916045c4a53db1d8,multi_turn_miss_param_92,multi_turn_miss_param,0,185954,1121,6720,1878.3232323232323,11.323232323232324,67.87878787878788,111.25,99,1,0,0,0,21,21.0,20,1922,1922.0,96.1,0,0,185954.0,1121.0,6720.0,111.25,1.1237373737373737,0.0621705
0a8c40c2fb440798c1f2f7321b971aed,multi_turn_miss_param_165,multi_turn_miss_param,1,154861,892,3456,11061.5,63.714285714285715,246.85714285714286,64.63799999999999,14,6,0,0,0,10,1.6666666666666667,4,1312,262.4,100.92307692307692,0,0,25810.166666666668,148.66666666666666,576.0,10.772999999999998,4.616999999999999,0.04741125
0d8c68d344fd9b8eb5c2442d099c274b,multi_turn_miss_param_147,multi_turn_miss_param,0,86281,219,1280,10785.125,27.375,160.0,23.826999999999995,8,3,0,0,0,5,1.6666666666666667,1,504,252.0,72.0,0,0,28760.333333333332,73.0,426.6666666666667,7.942333333333331,2.9783749999999993,0.02456825
11a1468dc30e5f3580f490b63739ef87,multi_turn_miss_param_144,multi_turn_miss_param,1,73442,230,1088,10491.714285714286,32.857142857142854,155.42857142857142,29.698999999999998,7,3,0,0,0,5,1.6666666666666667,2,394,197.0,65.66666666666667,0,0,24480.666666666668,76.66666666666667,362.6666666666667,9.899666666666667,4.242714285714285,0.020996499999999998
129a670fc511270d46ca107f6e263350,multi_turn_miss_param_195,multi_turn_miss_param,1,243899,988,5120,12836.78947368421,52.0,269.4736842105263,87.39100000000002,19,5,0,0,0,14,2.8,5,1154,288.5,64.11111111111111,0,0,48779.8,197.6,1024.0,17.478200000000005,4.599526315789475,0.07319075
172ba62b68fda7a1f5b966a73c18e0de,multi_turn_miss_param_28,multi_turn_miss_param,0,248422,1231,9408,2343.603773584906,11.61320754716981,88.75471698113208,134.61600000000004,106,1,0,0,0,21,21.0,19,2114,2114.0,105.7,0,0,248422.0,1231.0,9408.0,134.61600000000004,1.2699622641509438,0.0833835
179e7faf6ec2a1fbf8904c6e13159d88,multi_turn_miss_param_172,multi_turn_miss_param,0,172477,571,5504,10779.8125,35.6875,344.0,78.84199999999997,16,5,0,0,0,11,2.2,2,1049,262.25,69.93333333333334,0,0,34495.4,114.2,1100.8,15.768399999999994,4.927624999999998,0.05526924999999999
