trace_id,test_id,category,success,total_input_tokens,total_output_tokens,total_thinking_tokens,avg_input_tokens_per_step,avg_output_tokens_per_step,avg_thinking_tokens_per_step,total_llm_latency_sec,step_count,turn_count,error_count,runtime_error_count,tool_error_count,tool_call_count,avg_tool_calls_per_turn,redundant_tool_calls,context_growth_total,avg_context_growth_per_turn,avg_context_growth_per_step,self_corrected_runtime,self_corrected_tool,avg_input_tokens_per_turn,avg_output_tokens_per_turn,avg_thinking_tokens_per_turn,avg_llm_latency_per_turn_sec,avg_llm_latency_per_step_sec
004ebfa784d0d9d9ac698b5e53e69b64,multi_turn_base_51,multi_turn_base,0,21941,237,2368,1462.7333333333333,15.8,157.86666666666667,43.381,15,4,0,0,0,0,0.0,0,800,266.6666666666667,266.6666666666667,0,0,5485.25,59.25,592.0,10.84525,2.8920666666666666
00d3f6ab6cedc99751fdbef2ce62fecf,multi_turn_base_168,multi_turn_base,0,25316,319,2368,1687.7333333333333,21.266666666666666,157.86666666666667,45.701,15,5,0,0,0,0,0.0,0,670,167.5,167.5,0,0,5063.2,63.8,473.6,9.1402,3.0467333333333335
03a4dafedfaf83087fe91e38feef83a8,multi_turn_base_21,multi_turn_base,0,15576,207,1408,1730.6666666666667,23.0,156.44444444444446,27.534,9,3,0,0,0,0,0.0,0,243,121.5,121.5,0,0,5192.0,69.0,469.3333333333333,9.177999999999999,3.059333333333333
0524aa1b027bb9fd027b4752e7b3df8d,multi_turn_base_116,multi_turn_base,0,20015,271,1728,1111.9444444444443,15.055555555555555,96.0,37.254999999999995,18,6,0,0,0,0,0.0,0,690,138.0,138.0,0,0,3335.8333333333335,45.166666666666664,288.0,6.209166666666666,2.069722222222222
07349da1474c655df773420c1a810a9b,multi_turn_base_178,multi_turn_base,0,27069,578,3200,1691.8125,36.125,200.0,64.828,16,5,0,0,0,0,0.0,0,1136,284.0,284.0,0,0,5413.8,115.6,640.0,12.9656,4.05175
0776c49ce4426bdbbb8e6b86fb35cb92,multi_turn_base_61,multi_turn_base,0,22590,389,4800,1882.5,32.416666666666664,400.0,70.86999999999999,12,4,0,0,0,0,0.0,0,914,304.6666666666667,304.6666666666667,0,0,5647.5,97.25,1200.0,17.717499999999998,5.905833333333333
0891a407c30b5860e6d9899a64893b12,multi_turn_base_172,multi_turn_base,0,20683,387,2432,1723.5833333333333,32.25,202.66666666666666,48.187000000000005,12,4,0,0,0,0,0.0,0,675,225.0,225.0,0,0,5170.75,96.75,608.0,12.046750000000001,4.015583333333334
090394dd7fe3de4a7ea434a4305fa3b4,multi_turn_base_88,multi_turn_base,0,18023,270,2432,1802.3,27.0,243.2,38.752,10,3,0,0,0,0,0.0,0,454,227.0,227.0,0,0,6007.666666666667,90.0,810.6666666666666,12.917333333333334,3.8752000000000004
0bbce9fc72253b29757427819f034669,multi_turn_base_137,multi_turn_base,0,17556,299,3072,1170.4,19.933333333333334,204.8,49.035,15,4,0,0,0,0,0.0,0,791,263.6666666666667,263.6666666666667,0,0,4389.0,74.75,768.0,12.25875,3.2689999999999997
111732f4fedc247c54c2f4172e6dd1ac,multi_turn_base_157,multi_turn_base,0,16062,193,1984,1606.2,19.3,198.4,36.325,10,3,0,0,0,0,0.0,0,296,148.0,148.0,0,0,5354.0,64.33333333333333,661.3333333333334,12.108333333333334,3.6325000000000003
1457df8d02058084eec88637e3094e4e,multi_turn_base_17,multi_turn_base,0,13501,280,2368,1350.1,28.0,236.8,41.781,10,3,0,0,0,0,0.0,0,355,177.5,177.5,0,0,4500.333333333333,93.33333333333333,789.3333333333334,13.927,4.1781
15e078b20f3f801ed0d985a9c6bd1092,multi_turn_base_193,multi_turn_base,0,26750,332,2560,922.4137931034483,11.448275862068966,88.27586206896552,48.42099999999999,29,4,0,0,0,0,0.0,0,2595,865.0,865.0,0,0,6687.5,83.0,640.0,12.105249999999998,1.6696896551724136
16b25de390e2b5bab978e990b7e855e5,multi_turn_base_20,multi_turn_base,0,10288,206,1920,1286.0,25.75,240.0,35.266,8,2,0,0,0,0,0.0,0,180,180.0,180.0,0,0,5144.0,103.0,960.0,17.633,4.40825
18062d759e446e46a8d6d0e70571fc78,multi_turn_base_164,multi_turn_base,0,16216,354,2432,1351.3333333333333,29.5,202.66666666666666,43.691,12,4,0,0,0,0,0.0,0,579,193.0,193.0,0,0,4054.0,88.5,608.0,10.92275,3.640916666666667
18278d4b88601a60434cfed251cb15cd,multi_turn_base_36,multi_turn_base,0,15249,332,3264,1270.75,27.666666666666668,272.0,50.053999999999995,12,3,0,0,0,0,0.0,0,493,246.5,246.5,0,0,5083.0,110.66666666666667,1088.0,16.684666666666665,4.171166666666666
187e7f263fae4439808e95f905bdb525,multi_turn_base_33,multi_turn_base,0,23312,309,3136,1457.0,19.3125,196.0,53.226,16,5,0,0,0,0,0.0,0,644,161.0,161.0,0,0,4662.4,61.8,627.2,10.645199999999999,3.326625
