trace_id,test_id,category,success,total_input_tokens,total_output_tokens,total_thinking_tokens,avg_input_tokens_per_step,avg_output_tokens_per_step,avg_thinking_tokens_per_step,total_llm_latency_sec,step_count,turn_count,error,runtime_error_count,tool_error_count,tool_call_count,avg_tool_calls_per_turn,redundant_tool_calls,context_growth_total,avg_context_growth_per_turn,avg_context_growth_per_step,self_corrected_runtime,self_corrected_tool,avg_input_tokens_per_turn,avg_output_tokens_per_turn,avg_thinking_tokens_per_turn,avg_llm_latency_per_turn_sec,avg_llm_latency_per_step_sec,total_cost
001bec1e3424a4d0ff194473139cada5,live_multiple_919-191-7,live_multiple,0,1647,81,384,1647.0,81.0,384.0,7.938,1,1,0,0,0,1,1.0,0,1647,1647.0,0.0,0,0,1647.0,81.0,384.0,7.938,7.938,0.00134175
001c472cc40d217c598db31708f64c12,live_irrelevance_429-104-0,live_irrelevance,1,2702,405,960,1351.0,202.5,480.0,21.252000000000002,2,1,0,0,0,1,1.0,0,442,442.0,442.0,0,0,2702.0,405.0,960.0,21.252000000000002,10.626000000000001,0.0034054999999999997
00370a5620b14bd4211c4339fa7bcd48,live_irrelevance_248-49-0,live_irrelevance,0,1739,181,1024,1739.0,181.0,1024.0,19.104,1,1,0,0,0,1,1.0,0,1739,1739.0,0.0,0,0,1739.0,181.0,1024.0,19.104,19.104,0.0028447499999999996
003e221113d1f413d3c60ff7c5932db2,live_irrelevance_167-22-0,live_irrelevance,0,1053,76,320,1053.0,76.0,320.0,5.899,1,1,0,0,0,1,1.0,0,1053,1053.0,0.0,0,0,1053.0,76.0,320.0,5.899,5.899,0.00105525
0048aad5ea47be7760e03d000bcf8303,live_irrelevance_451-119-0,live_irrelevance,0,1071,70,1472,1071.0,70.0,1472.0,14.626,1,1,0,0,0,1,1.0,0,1071,1071.0,0.0,0,0,1071.0,70.0,1472.0,14.626,14.626,0.00335175
004f64e713d1d71445494e36fa7bd4be,simple_python_120,simple_python,1,982,81,192,982.0,81.0,192.0,5.7379999999999995,1,1,0,0,0,1,1.0,0,982,982.0,0.0,0,0,982.0,81.0,192.0,5.7379999999999995,5.7379999999999995,0.0007915000000000001
007a39a794cc4cf7b966f87c0f75a168,live_simple_43-17-3,live_simple,1,1100,65,768,1100.0,65.0,768.0,20.228,1,1,0,0,0,1,1.0,0,1100,1100.0,0.0,0,0,1100.0,65.0,768.0,20.228,20.228,0.001941
008a929b160a96f1047429184c04f09b,live_simple_129-83-1,live_simple,0,1010,80,320,1010.0,80.0,320.0,5.541,1,1,0,0,0,1,1.0,0,1010,1010.0,0.0,0,0,1010.0,80.0,320.0,5.541,5.541,0.0010525
008d3884c7675d236aa0ba01bfe53afa,live_irrelevance_112-7-2,live_irrelevance,1,2284,169,1280,1142.0,84.5,640.0,22.631,2,1,0,0,0,1,1.0,0,364,364.0,364.0,0,0,2284.0,169.0,1280.0,22.631,11.3155,0.003469
00b4fe91b581518c2f00ded9eb3c6d79,live_multiple_543-152-5,live_multiple,1,1421,68,320,1421.0,68.0,320.0,7.294,1,1,0,0,0,1,1.0,0,1421,1421.0,0.0,0,0,1421.0,68.0,320.0,7.294,7.294,0.00113125
00b9f0484446fc4312d3b12c7e145f84,multiple_25,multiple,1,1191,61,320,1191.0,61.0,320.0,6.407,1,1,0,0,0,1,1.0,0,1191,1191.0,0.0,0,0,1191.0,61.0,320.0,6.407,6.407,0.00105975
00bc0bd4730d011dab71fb6f81ba8ee7,live_multiple_1032-260-0,live_multiple,1,1183,42,384,1183.0,42.0,384.0,7.638,1,1,0,0,0,1,1.0,0,1183,1183.0,0.0,0,0,1183.0,42.0,384.0,7.638,7.638,0.0011477500000000001
