trace_id,test_id,category,meta_category,success,total_input_tokens,total_output_tokens,total_thinking_tokens,avg_input_tokens_per_step,avg_output_tokens_per_step,avg_thinking_tokens_per_step,total_llm_latency_sec,step_count,turn_count,error,runtime_error_count,tool_error_count,tool_call_count,avg_tool_calls_per_turn,redundant_tool_calls,context_growth_total,avg_context_growth_per_turn,avg_context_growth_per_step,self_corrected_runtime,self_corrected_tool,avg_input_tokens_per_turn,avg_output_tokens_per_turn,avg_thinking_tokens_per_turn,avg_llm_latency_per_turn_sec,avg_llm_latency_per_step_sec,total_cost
019ca8efb1c4ee788e1f32d27e635201,multi_turn_miss_func_165,multi_turn_miss_func,multi_turn,0,160395,551,0,13366.25,45.916666666666664,0.0,61.11300000000001,12,6,0,0,0,6,1.0,1,1104,220.8,100.36363636363636,0,0,26732.5,91.83333333333333,0.0,10.185500000000001,5.0927500000000006,0
01d7d5d0ec47671f8a89ce65b13c09e3,multi_turn_miss_func_178,multi_turn_miss_func,multi_turn,0,119251,294,0,13250.111111111111,32.666666666666664,0.0,30.762999999999998,9,6,0,0,0,3,0.5,0,715,143.0,89.375,0,0,19875.166666666668,49.0,0.0,5.127166666666667,3.418111111111111,0
029658dc0170cf52bdbf82d554ed8891,multi_turn_miss_func_152,multi_turn_miss_func,multi_turn,0,93923,415,0,13417.57142857143,59.285714285714285,0.0,43.583,7,4,0,0,0,4,1.0,1,740,246.66666666666666,123.33333333333333,0,0,23480.75,103.75,0.0,10.89575,6.2261428571428565,0
074190c853de206962d3841b00331b54,multi_turn_miss_func_172,multi_turn_miss_func,multi_turn,0,131159,350,0,13115.9,35.0,0.0,45.842999999999996,10,5,0,0,0,5,1.0,0,927,231.75,103.0,0,0,26231.8,70.0,0.0,9.1686,4.5843,0
08fe611e2017cf22373554c83d704c52,multi_turn_miss_func_198,multi_turn_miss_func,multi_turn,0,88946,186,0,14824.333333333334,31.0,0.0,23.909999999999997,6,2,0,0,0,4,2.0,0,557,557.0,111.4,0,0,44473.0,93.0,0.0,11.954999999999998,3.9849999999999994,0
0a75990cd199fc80645d2050386ec97b,multi_turn_miss_func_153,multi_turn_miss_func,multi_turn,0,86864,277,0,9651.555555555555,30.77777777777778,0.0,34.912,9,6,0,0,0,3,0.5,0,781,156.2,97.625,0,0,14477.333333333334,46.166666666666664,0.0,5.818666666666666,3.879111111111111,0
0fc7497a0691ec61ab4edf088ff8c453,multi_turn_miss_func_173,multi_turn_miss_func,multi_turn,0,92466,536,0,13209.42857142857,76.57142857142857,0.0,51.346999999999994,7,5,0,0,0,2,0.4,0,795,198.75,132.5,0,0,18493.2,107.2,0.0,10.2694,7.335285714285713,0
153899b17be0a7e57b47f99022dc2a98,multi_turn_miss_func_189,multi_turn_miss_func,multi_turn,1,164935,727,0,14994.09090909091,66.0909090909091,0.0,75.92999999999999,11,4,0,0,0,7,1.75,1,908,302.6666666666667,90.8,0,0,41233.75,181.75,0.0,18.982499999999998,6.902727272727272,0
1872b2421272d2280419e51be9f1049d,multi_turn_miss_func_155,multi_turn_miss_func,multi_turn,0,26842,202,0,8947.333333333334,67.33333333333333,0.0,20.14,3,3,0,0,0,0,0.0,0,412,206.0,206.0,0,0,8947.333333333334,67.33333333333333,0.0,6.713333333333334,6.713333333333334,0
19bba3cb9f71ce91e29ddc67dec6f611,multi_turn_miss_func_161,multi_turn_miss_func,multi_turn,0,75639,262,0,15127.8,52.4,0.0,26.762999999999998,5,4,0,0,0,1,0.25,0,691,230.33333333333334,172.75,0,0,18909.75,65.5,0.0,6.6907499999999995,5.3526,0
23cd4756617310416bdd61d1c0356c50,multi_turn_miss_func_167,multi_turn_miss_func,multi_turn,0,116193,373,0,9682.75,31.083333333333332,0.0,48.872,12,6,0,0,0,7,1.1666666666666667,1,939,187.8,85.36363636363636,0,0,19365.5,62.166666666666664,0.0,8.145333333333333,4.072666666666667,0
2b339a3f985226ac13f7740c9d0e0809,multi_turn_miss_func_162,multi_turn_miss_func,multi_turn,0,190932,631,0,13638.0,45.07142857142857,0.0,69.778,14,7,0,0,0,7,1.0,2,1143,190.5,87.92307692307692,0,0,27276.0,90.14285714285714,0.0,9.968285714285715,4.984142857142857,0
2b75a4d166a610f8e1a1741d15e9b134,multi_turn_miss_func_151,multi_turn_miss_func,multi_turn,0,134982,741,0,14998.0,82.33333333333333,0.0,81.00500000000001,9,4,0,0,0,5,1.25,0,925,308.3333333333333,115.625,0,0,33745.5,185.25,0.0,20.251250000000002,9.000555555555557,0
30faafc7396ef9d673a00dcbdaf36fec,multi_turn_miss_func_146,multi_turn_miss_func,multi_turn,0,55389,103,0,6923.625,12.875,0.0,14.499,8,5,0,0,0,3,0.6,0,457,114.25,65.28571428571429,0,0,11077.8,20.6,0.0,2.8998,1.812375,0
314431c6aada2d0033f28ee22c7efa40,multi_turn_miss_func_197,multi_turn_miss_func,multi_turn,0,89173,254,0,12739.0,36.285714285714285,0.0,30.573,7,4,0,0,0,3,0.75,0,613,204.33333333333334,102.16666666666667,0,0,22293.25,63.5,0.0,7.64325,4.367571428571429,0
341bba271bf4c22d043014fc5ea1c605,multi_turn_miss_func_188,multi_turn_miss_func,multi_turn,0,205977,549,0,15844.384615384615,42.23076923076923,0.0,63.76700000000001,13,7,0,0,0,6,0.8571428571428571,0,1363,227.16666666666666,113.58333333333333,0,0,29425.285714285714,78.42857142857143,0.0,9.10957142857143,4.905153846153847,0
3850049d7e4684d4cd11ff5db282f693,multi_turn_miss_func_140,multi_turn_miss_func,multi_turn,0,89476,725,0,11184.5,90.625,0.0,73.357,8,5,0,0,0,3,0.6,0,858,214.5,122.57142857142857,0,0,17895.2,145.0,0.0,14.6714,9.169625,0
3e3e748e6d54b4a58520e134c5e7d130,multi_turn_miss_func_186,multi_turn_miss_func,multi_turn,0,239539,1065,0,15969.266666666666,71.0,0.0,106.447,15,7,0,0,0,8,1.1428571428571428,0,1884,314.0,134.57142857142858,0,0,34219.857142857145,152.14285714285714,0.0,15.206714285714286,7.096466666666667,0
3f0644285d3740ee567c8152f3c99294,multi_turn_miss_func_160,multi_turn_miss_func,multi_turn,0,102298,342,0,12787.25,42.75,0.0,42.3,8,4,0,0,0,4,1.0,0,873,291.0,124.71428571428571,0,0,25574.5,85.5,0.0,10.575,5.2875,0
40c79c72c2bbb9683655f87e03b97c7f,multi_turn_miss_func_141,multi_turn_miss_func,multi_turn,0,129643,360,0,10803.583333333334,30.0,0.0,49.848,12,6,0,0,0,6,1.0,0,949,189.8,86.27272727272727,0,0,21607.166666666668,60.0,0.0,8.308,4.154,0
42351a7e27d6f3fe2043ef739bbb9695,multi_turn_miss_func_145,multi_turn_miss_func,multi_turn,0,105499,452,0,10549.9,45.2,0.0,45.936,10,6,0,0,0,4,0.6666666666666666,0,856,171.2,95.11111111111111,0,0,17583.166666666668,75.33333333333333,0.0,7.656,4.5936,0
4ae3dfa2044f0b1e314195f4f15e239b,multi_turn_miss_func_138,multi_turn_miss_func,multi_turn,0,116266,481,0,10569.636363636364,43.72727272727273,0.0,56.410000000000004,11,6,0,0,0,5,0.8333333333333334,0,1032,206.4,103.2,0,0,19377.666666666668,80.16666666666667,0.0,9.401666666666667,5.128181818181819,0
4cc0656ba9275b3c183fb0a4fbbb678c,multi_turn_miss_func_168,multi_turn_miss_func,multi_turn,0,153772,852,0,12814.333333333334,71.0,0.0,91.54499999999999,12,6,0,0,0,7,1.1666666666666667,1,1656,331.2,150.54545454545453,0,0,25628.666666666668,142.0,0.0,15.257499999999999,7.628749999999999,0
5aba0adefab6257fbf3ceb36e361adb1,multi_turn_miss_func_187,multi_turn_miss_func,multi_turn,0,106943,1012,0,13367.875,126.5,0.0,88.581,8,5,0,0,0,3,0.6,0,865,216.25,123.57142857142857,0,0,21388.6,202.4,0.0,17.7162,11.072625,0
5eaff372bca30b9356869c643b1c1ad9,multi_turn_miss_func_182,multi_turn_miss_func,multi_turn,0,38060,260,0,9515.0,65.0,0.0,21.139999999999997,4,3,0,0,0,1,0.3333333333333333,0,579,289.5,193.0,0,0,12686.666666666666,86.66666666666667,0.0,7.046666666666666,5.284999999999999,0
61f287df6be418ad6e68db47b3ab6a1e,multi_turn_miss_func_191,multi_turn_miss_func,multi_turn,0,81362,407,0,9040.222222222223,45.22222222222222,0.0,40.777,9,6,0,0,0,3,0.5,0,886,177.2,110.75,0,0,13560.333333333334,67.83333333333333,0.0,6.796166666666667,4.530777777777778,0
627ce29c89fe27d7477ea4e03df5b3b9,multi_turn_miss_func_177,multi_turn_miss_func,multi_turn,0,37819,336,0,12606.333333333334,112.0,0.0,33.958999999999996,3,3,0,0,0,0,0.0,0,348,174.0,174.0,0,0,12606.333333333334,112.0,0.0,11.319666666666665,11.319666666666665,0
6942b9289ca2e0148da39a957d4c9d1d,multi_turn_miss_func_147,multi_turn_miss_func,multi_turn,0,38113,271,0,12704.333333333334,90.33333333333333,0.0,25.874,3,3,0,0,0,0,0.0,0,486,243.0,243.0,0,0,12704.333333333334,90.33333333333333,0.0,8.624666666666666,8.624666666666666,0
6d491cc45cd95aa4b5c869e1ae4c8495,multi_turn_miss_func_170,multi_turn_miss_func,multi_turn,0,227355,379,0,15157.0,25.266666666666666,0.0,58.092000000000006,15,7,0,0,0,8,1.1428571428571428,1,1129,188.16666666666666,80.64285714285714,0,0,32479.285714285714,54.142857142857146,0.0,8.298857142857143,3.8728000000000002,0
73f29c00431a4955a8434b8994fc5d93,multi_turn_miss_func_194,multi_turn_miss_func,multi_turn,0,141810,916,0,10129.285714285714,65.42857142857143,0.0,53.86300000000001,14,7,0,0,0,7,1.0,1,1535,255.83333333333334,118.07692307692308,0,0,20258.571428571428,130.85714285714286,0.0,7.694714285714286,3.847357142857143,0
782fc2d3b72e0cd56e6f7889a309a2eb,multi_turn_miss_func_159,multi_turn_miss_func,multi_turn,1,73962,726,0,9245.25,90.75,0.0,73.952,8,4,0,0,0,4,1.0,0,1145,381.6666666666667,163.57142857142858,0,0,18490.5,181.5,0.0,18.488,9.244,0
7cc172fd440f690829f14297040834fe,multi_turn_miss_func_166,multi_turn_miss_func,multi_turn,0,145000,755,0,13181.818181818182,68.63636363636364,0.0,83.02799999999999,11,6,0,0,0,6,1.0,1,1401,280.2,140.1,0,0,24166.666666666668,125.83333333333333,0.0,13.838,7.547999999999999,0
