trace_id,test_id,category,success,total_input_tokens,total_output_tokens,total_thinking_tokens,avg_input_tokens_per_step,avg_output_tokens_per_step,avg_thinking_tokens_per_step,total_llm_latency_sec,step_count,turn_count,error_count,runtime_error_count,tool_error_count,tool_call_count,avg_tool_calls_per_turn,redundant_tool_calls,context_growth_total,avg_context_growth_per_turn,avg_context_growth_per_step,self_corrected_runtime,self_corrected_tool,avg_input_tokens_per_turn,avg_output_tokens_per_turn,avg_thinking_tokens_per_turn,avg_llm_latency_per_turn_sec,avg_llm_latency_per_step_sec
049a976c0cefdc578a58c9ad1933bc2a,multi_turn_base_134,multi_turn_base,0,214356,504,0,26794.5,63.0,0.0,677.789,8,3,0,0,0,5,1.6666666666666667,0,1030,515.0,147.14285714285714,0,0,71452.0,168.0,0.0,225.92966666666666,84.723625
d124677b27aefe00980d149161ec6981,multi_turn_base_98,multi_turn_base,0,311296,328,0,31129.6,32.8,0.0,770.0889999999999,10,3,0,0,0,7,2.3333333333333335,2,858,429.0,95.33333333333333,0,0,103765.33333333333,109.33333333333333,0.0,256.6963333333333,77.0089
4f24ba7934da40f7fdd6a1129926a8f5,multi_turn_base_28,multi_turn_base,0,301570,874,0,27415.454545454544,79.45454545454545,0.0,817.4340000000001,11,3,0,0,0,8,2.6666666666666665,1,1174,587.0,117.4,0,0,100523.33333333333,291.3333333333333,0.0,272.478,74.31218181818183
6b9c0a41ede7815b70f49894f90e39e8,multi_turn_base_59,multi_turn_base,0,344654,692,0,31332.18181818182,62.90909090909091,0.0,817.408,11,5,0,0,0,7,1.4,1,1316,329.0,131.6,0,0,68930.8,138.4,0.0,163.48160000000001,74.30981818181819
8966c71848ba0a208e0361ea56de06b3,multi_turn_base_144,multi_turn_base,1,105828,176,0,26457.0,44.0,0.0,333.726,4,2,0,0,0,2,1.0,0,376,376.0,125.33333333333333,0,0,52914.0,88.0,0.0,166.863,83.4315
05a85b9608a2705645c3f9645d839bf9,multi_turn_base_161,multi_turn_base,1,189024,398,0,31504.0,66.33333333333333,0.0,534.063,6,3,0,0,0,3,1.0,0,862,431.0,172.4,0,0,63008.0,132.66666666666666,0.0,178.021,89.0105
0cc53c42ee0d778daa8eaac9a923cbf4,multi_turn_base_124,multi_turn_base,0,160230,370,0,26705.0,61.666666666666664,0.0,528.2139999999999,6,3,0,0,0,3,1.0,0,722,361.0,144.4,0,0,53410.0,123.33333333333333,0.0,176.0713333333333,88.03566666666666
ba9f9832c0cc34fffb64fde7590eba04,multi_turn_base_136,multi_turn_base,1,268082,264,0,26808.2,26.4,0.0,764.7130000000001,10,4,0,0,0,6,1.5,0,1060,353.3333333333333,117.77777777777777,0,0,67020.5,66.0,0.0,191.17825000000002,76.47130000000001
4840db57bec47395761b83b026e3bd9a,multi_turn_base_44,multi_turn_base,0,191834,524,0,27404.85714285714,74.85714285714286,0.0,617.4820000000001,7,3,0,0,0,4,1.3333333333333333,1,746,373.0,124.33333333333333,0,0,63944.666666666664,174.66666666666666,0.0,205.82733333333337,88.2117142857143
56e3e4d69f350a4c2bbae06c617fa491,multi_turn_base_112,multi_turn_base,1,240182,162,0,26686.88888888889,18.0,0.0,720.187,9,4,0,0,0,5,1.25,0,848,282.6666666666667,106.0,0,0,60045.5,40.5,0.0,180.04675,80.02077777777778
